CustomerId,Id,AttributeId,AttributeValueId,Name,Description,ShowOnPage,DisplayOrder,Value
23848,175016,5,8,Kanal kupca za cenovnik,,TRUE,1,1
23848,203269,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
23848,483243,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
14688,179620,5,8,Kanal kupca za cenovnik,,TRUE,1,1
14688,235676,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
14688,499993,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
51344,146546,5,8,Kanal kupca za cenovnik,,TRUE,1,1
51344,196307,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
51344,468810,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
26556,185378,5,8,Kanal kupca za cenovnik,,TRUE,1,1
26556,193660,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
26556,480368,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
11074,143527,5,8,Kanal kupca za cenovnik,,TRUE,1,1
11074,216154,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
11074,477672,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
36185,133917,5,8,Kanal kupca za cenovnik,,TRUE,1,1
36185,195428,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
36185,500680,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
10290,150803,5,8,Kanal kupca za cenovnik,,TRUE,1,1
10290,201544,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
10290,452865,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
35315,153540,5,8,Kanal kupca za cenovnik,,TRUE,1,1
35315,236371,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
35315,498032,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
116821,186831,5,8,Kanal kupca za cenovnik,,TRUE,1,2
116821,205884,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
116821,455077,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
15825,129574,5,8,Kanal kupca za cenovnik,,TRUE,1,1
15825,224928,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
15825,489154,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
9584,120147,5,8,Kanal kupca za cenovnik,,TRUE,1,4
9584,237149,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
9584,496817,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
127400,244112,5,8,Kanal kupca za cenovnik,,TRUE,1,2
127400,244117,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
127400,483267,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
54488,177967,5,8,Kanal kupca za cenovnik,,TRUE,1,1
54488,208720,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
54488,500026,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
116726,174026,5,8,Kanal kupca za cenovnik,,TRUE,1,1
116726,233360,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
116726,460557,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
127811,451245,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
127811,451341,5,8,Kanal kupca za cenovnik,,TRUE,1,3
127811,463099,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
44726,517914,17,41,Relevantan kupac,,TRUE,0,Relevantan kupac
44726,176638,5,8,Kanal kupca za cenovnik,,TRUE,1,3
44726,236127,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
44726,487146,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
5558,151577,5,8,Kanal kupca za cenovnik,,TRUE,1,1
5558,210073,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
5558,477135,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
3256,136377,5,8,Kanal kupca za cenovnik,,TRUE,1,1
3256,229303,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
3256,501224,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
7700,147656,5,8,Kanal kupca za cenovnik,,TRUE,1,1
7700,229522,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
7700,495729,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
111001,507573,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
111001,507644,5,8,Kanal kupca za cenovnik,,TRUE,1,1
111001,507665,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
29127,181325,5,8,Kanal kupca za cenovnik,,TRUE,1,2
29127,212915,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
29127,486186,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
19255,517846,17,41,Relevantan kupac,,TRUE,0,Relevantan kupac
19255,159622,5,8,Kanal kupca za cenovnik,,TRUE,1,3
