CustomerId,CategoryOfItemsId,Turnover,Potential,UnusedPotential,NoOfItems,Name
52842,7811,0,19748.18,19748.18,0,Bašta - Pumpe za vodu
52842,7815,1859.2,16703.68,14844.48,2,Radna odeća -Zaštita na radu
52842,7819,14532.72,133045.59,118512.87,2,PUR pene                      
52842,7834,0,33000.72,33000.72,0,"Bašta - Konektori, Ventili, Slavine"
52842,7853,0,20817.53,20817.53,0,Rezne ploče          
52842,7865,8614.5,71924.44,63309.94,7,Šelne sa gumom i instalacije
52842,7869,0,17146.27,17146.27,0,"Šelne za creva, ZEBRA         "
52842,7882,33652.75,166180.8,132528.05,4,Sanitar - Daske za WC
52842,7884,22881.84,106530.54,83648.7,3,Silikoni                      
52842,7890,4996.39,85266.78,80270.39,2,Sanitar - Slavine 
52842,7892,69165.47,92761.5,23596.03,33,Sanitar - Tuš program/razno
52842,7893,6153,17135.9,10982.9,1,Bašta - motorni program
52842,7907,13520,13520,0,1,Bašta - Creva za vodu
52842,8003,6358,18055.52,11697.52,3,SANITAR – GALANTERIJA 
23841,7805,0,2670.43,2670.43,0,K+D/MS Polimeri               
23841,7806,0,3007.13,3007.13,0,Rukavice - Zaštita na radu
23841,7815,0,5828.36,5828.36,0,Radna odeća -Zaštita na radu
23841,7819,0,10426.16,10426.16,0,PUR pene                      
23841,7820,0,5668.92,5668.92,0,MASTER mašine                 
23841,7823,0,1075.88,1075.88,0,Dijamantski rezni alat        
23841,7836,0,4950.55,4950.55,0,"Ankeri, tiplovi               "
23841,7842,0,3286.47,3286.47,0,Građevinske burgije           
23841,7853,4503.24,4503.24,0,1,Rezne ploče          
23841,7859,0,1766.42,1766.42,0,Podmazivači                   
23841,7898,0,931.4,931.4,0,Zavarivanje - Aparati za zavar
23841,7909,0,7887.97,7887.97,0,Cipele - Zaštita na radu
23841,7986,6713,0,0,0,Hidraulična ulja
23841,7998,0,3445.85,3445.85,0,RUČNI ALAT
23841,8057,0,1043.25,1043.25,0,Pantalone - Zaštita na radu
23841,8062,0,5367.38,5367.38,0,Radna odela - Zaštita na radu
26905,7805,0,7601.21,7601.21,0,K+D/MS Polimeri               
26905,7806,5276.7,31555.83,26279.13,2,Rukavice - Zaštita na radu
26905,7815,0,93303.08,93303.08,0,Radna odeća -Zaštita na radu
26905,7819,0,7405.15,7405.15,0,PUR pene                      
26905,7820,0,20807.62,20807.62,0,MASTER mašine                 
26905,7852,0,11375,11375,0,ZEBRA Shark tiplovi           
26905,7856,0,11674.82,11674.82,0,Vijci za drvo                 
26905,7859,4524,17709.22,13185.22,2,Podmazivači                   
26905,7884,0,16258.3,16258.3,0,Silikoni                      
26905,7889,0,7372.16,7372.16,0,Čišćenje ruku                 
26905,7909,3775.2,202739.93,198964.73,1,Cipele - Zaštita na radu
26905,7998,0,36589.2,36589.2,0,RUČNI ALAT
26905,8057,0,36697.92,36697.92,0,Pantalone - Zaštita na radu
26905,8059,12982.86,12982.86,0,1,Čistač kočnica
26905,8062,0,58096.21,58096.21,0,Radna odela - Zaštita na radu
12445,7806,0,21278.71,21278.71,0,Rukavice - Zaštita na radu
12445,7810,0,6526.41,6526.41,0,Lamelarni brusni diskovi      
12445,7815,0,9992.85,9992.85,0,Radna odeća -Zaštita na radu
12445,7820,0,8159.03,8159.03,0,MASTER mašine                 
12445,7836,0,11432.17,11432.17,0,"Ankeri, tiplovi               "
12445,7838,5199.56,0,0,0,Papiri za brisanje            
12445,7853,0,8068.4,8068.4,0,Rezne ploče          
12445,7859,3092.58,14683.72,11591.14,1,Podmazivači                   
12445,7862,0,9317.48,9317.48,0,Mašinski navoj                
12445,7889,3980.44,14661.54,10681.1,1,Čišćenje ruku                 
12445,7895,0,6849.42,6849.42,0,Oprema i sprej za zavarivanje 
12445,7898,0,9281.33,9281.33,0,Zavarivanje - Aparati za zavar
12445,7909,4616.04,30994.46,26378.42,1,Cipele - Zaštita na radu
12445,7998,0,18071.78,18071.78,0,RUČNI ALAT
12445,8059,0,11698.97,11698.97,0,Čistač kočnica
12445,8062,12679.8,12679.8,0,3,Radna odela - Zaštita na radu
26042,7800,0,5004.83,5004.83,0,Sijalice                      
26042,7806,0,3047.85,3047.85,0,Rukavice - Zaštita na radu
26042,7815,19.99,22650.91,22630.92,1,Radna odeća -Zaštita na radu
26042,7820,0,3150.44,3150.44,0,MASTER mašine                 
26042,7863,0,1390.8,1390.8,0,Brisači auto stakla           
26042,7893,0,2062.06,2062.06,0,Bašta - motorni program
26042,7904,0,5030.61,5030.61,0,Triathlon                     
26042,7909,0,3785.16,3785.16,0,Cipele - Zaštita na radu
26042,7973,2653,3424.32,771.32,1,RADNE LAMPE I REFLEKTORI
26042,7992,0,5789.94,5789.94,0,Kompresori
26042,7998,7809.4,7809.4,0,4,RUČNI ALAT
26042,8056,0,1959.35,1959.35,0,Auto Stakla- Tečnosti
26042,8057,0,6856.63,6856.63,0,Pantalone - Zaštita na radu
26042,8059,11376,13013.54,1637.54,2,Čistač kočnica
26042,8062,0,3064.53,3064.53,0,Radna odela - Zaštita na radu
110011,7800,0,6524.29,6524.29,0,Sijalice                      
110011,7806,0,4772.98,4772.98,0,Rukavice - Zaštita na radu
110011,7815,0,7520.55,7520.55,0,Radna odeća -Zaštita na radu
110011,7820,11990,11990,0,1,MASTER mašine                 
110011,7859,0,5630.36,5630.36,0,Podmazivači                   
110011,7860,0,3943.58,3943.58,0,Radionička oprema             
110011,7889,0,5697.89,5697.89,0,Čišćenje ruku                 
110011,7900,0,12253.11,12253.11,0,Antifriz                      
110011,7904,0,16954.88,16954.88,0,Triathlon                     
110011,7909,0,7667.11,7667.11,0,Cipele - Zaštita na radu
110011,7973,3790,5158.03,1368.03,2,RADNE LAMPE I REFLEKTORI
110011,7988,0,6952.27,6952.27,0,Freon
110011,7998,0,22005.72,22005.72,0,RUČNI ALAT
110011,8055,0,3469.43,3469.43,0,Auto Stakla- Lepak i Alat
110011,8059,0,36534.93,36534.93,0,Čistač kočnica
45400,7803,153,0,0,0,Ostalo                        
45400,7806,0,4045.06,4045.06,0,Rukavice - Zaštita na radu
45400,7810,0,1078.01,1078.01,0,Lamelarni brusni diskovi      
45400,7815,0,5199.82,5199.82,0,Radna odeća -Zaštita na radu
45400,7816,0,2463.34,2463.34,0,Vijci za lim                  
45400,7819,0,650.04,650.04,0,PUR pene                      
45400,7820,0,4397.26,4397.26,0,MASTER mašine                 
45400,7821,0,2681.68,2681.68,0,Samobušeći vijci              
45400,7824,0,901.09,901.09,0,"Nitne (blind, sa navojem)     "
45400,7853,0,4215.41,4215.41,0,Rezne ploče          
45400,7877,0,628.9,628.9,0,Kablovske vezice              
45400,7889,0,578.29,578.29,0,Čišćenje ruku                 
45400,7909,3489.84,3489.84,0,1,Cipele - Zaštita na radu
